regime,epistasis_class,column,n_slopes,mean_slope,median_slope,std_slope,mean_abs_slope,frac_same_sign,mean_r2,frac_p_lt_0.05
mig0.01,DE,DE_1,100.0,0.9062056269501484,0.9830107344159733,1.4507061194894475,1.391814270259658,0.71,0.10766731330081242,0.17
mig0.01,DE,DE_2,100.0,0.8901838204447756,0.7614784860029034,1.358511735028818,1.2254192758471467,0.76,0.08495550533840455,0.15
mig0.01,DI,DI_1,100.0,-0.5016664600765498,-0.5772396054707234,1.5735543838031087,1.3170194570211458,0.66,0.09368977761905359,0.16
mig0.01,DI,DI_2,100.0,-0.8091512142391966,-0.7329511451536217,1.3460296154910512,1.263145314787459,0.71,0.0829588443188903,0.17
mig0.01,DRE,DRE_1,100.0,1.2365059350022842,1.1496124881554994,1.495200187010341,1.5843933216859654,0.83,0.11667713903759475,0.23
mig0.01,DRE,DRE_2,100.0,1.2843462228201006,1.2888334143787397,1.5417109292599096,1.5777941632408201,0.83,0.1221793218141098,0.24
mig0.01,NE,NE_1,100.0,-0.8786956945776824,-0.9285254822787443,1.4557675000329557,1.3464833236399105,0.75,0.09886549960508091,0.21
mig0.01,NE,NE_2,100.0,-0.9637876756415038,-1.048622808579351,1.3069077995540193,1.3181366026136934,0.79,0.08857189864059901,0.12
mig0.01,PO,PO_1,100.0,1.2229757794092624,1.1583006658644077,1.4167039815078224,1.5173383841131467,0.82,0.11084941344567562,0.22
mig0.01,PO,PO_2,100.0,1.3556887067173127,1.5054237574832436,1.433588961607208,1.662906963142832,0.82,0.12297319492699456,0.25
mig0.01,RE,RE_1,100.0,1.3507445725580505,1.3173126388638043,1.3724948121923601,1.6107900283680405,0.87,0.11494776553715567,0.19
mig0.01,RE,RE_2,100.0,1.1903413159237446,1.3704928552396622,1.4758053805290843,1.5322318419102812,0.75,0.11564326110072094,0.27
mig0.05,DDE,DDE_1,100.0,0.5523270735240987,0.5450976913282226,1.2552227322739635,1.1047255248226493,0.7,0.06353884297218887,0.06
mig0.05,DDE,DDE_2,100.0,-0.09024594245001533,-0.08999465844112242,1.3803649797204256,1.061153817454997,0.55,0.06903290978813861,0.1
mig0.05,DE,DE_1,100.0,0.34378735184697784,0.3669493110090668,1.428113970395298,1.1318471606236742,0.58,0.07498626878549572,0.11
mig0.05,DE,DE_2,100.0,0.3498157757594529,0.20531857479944676,1.316257345322666,1.0834997667398718,0.58,0.06805191358570464,0.11
mig0.05,DI,DI_1,100.0,-0.48786220816711245,-0.5670621286201347,1.4394538728174278,1.2094596778082414,0.62,0.0715973752584985,0.1
mig0.05,DI,DI_2,100.0,-0.4894371641548469,-0.49520327222968463,1.422613764173737,1.2274763464522918,0.58,0.07250057371253356,0.07
mig0.05,DRE,DRE_1,100.0,0.3336987726084633,0.3706596820874924,1.2897840142233103,1.0195761208765133,0.57,0.06149519539691375,0.06
mig0.05,DRE,DRE_2,100.0,0.37722942930902553,0.410747104546771,1.4391432408273936,1.2027155547124415,0.58,0.06934277949755228,0.09
mig0.05,NE,NE_1,100.0,-0.5118841756446818,-0.5648828122746562,1.4274950962674704,1.1977457573830124,0.65,0.08224655230869192,0.17
mig0.05,NE,NE_2,100.0,-0.6001954244504928,-0.44400263321436917,1.1126596245731109,1.0096357930205488,0.66,0.06447006802171015,0.09
mig0.05,PO,PO_1,100.0,0.7222611761492849,0.7342542850586552,1.4397131029470995,1.3040465576995195,0.69,0.08694500190348173,0.2
mig0.05,PO,PO_2,100.0,0.7278647219375921,0.7468796331576035,1.594083799375051,1.4084818783737432,0.67,0.09860882003933806,0.15
mig0.05,RE,RE_1,100.0,0.5028832880515257,0.500081004594738,1.301276064607078,1.1143197068417094,0.64,0.07083969062172078,0.09
mig0.05,RE,RE_2,100.0,0.39502072602151245,0.32948795226135846,1.3081417534824955,1.0771289883394217,0.61,0.06642265249374488,0.1
