regime,n_slopes,mean_slope,median_slope,std_slope,mean_abs_slope,frac_same_sign,mean_r2,frac_p_lt_0.05
mig0,1400.0,0.7942672144446095,0.977665578530525,2.086578745440983,1.8544210514979698,0.67,0.1503877850916737,0.3192857142857143
mig0.01,1400.0,0.5272243193822761,0.5571649557547806,1.6777126519752568,1.4164046216458424,0.6292857142857143,0.10108778200745146,0.18571428571428572
mig0.05,1400.0,0.15180452859577032,0.12526760523055058,1.4437011010494762,1.1537009036534738,0.54,0.07286276031326525,0.10714285714285714
