regime,epistasis_class,n_slopes,mean_slope,median_slope,std_slope,mean_abs_slope,frac_same_sign,mean_r2,frac_p_lt_0.05
mig0,DDE,200.0,0.6587989576760116,0.6153874276958755,1.3709362855674367,1.202057974986068,0.705,0.07808175724672528,0.115
mig0,DE,200.0,1.5022675917279054,1.4012664137193278,1.4262925362246859,1.7003979211420344,0.855,0.13156591896293593,0.275
mig0,DI,200.0,-1.0982735093756948,-1.2303431569136114,1.4206951547778603,1.4903977947033815,0.78,0.108599924273582,0.175
mig0,DRE,200.0,1.9446921822847525,1.9500586840212566,1.4668561036870913,2.082289319926091,0.925,0.1769397958297381,0.39
mig0,NE,200.0,-1.8363315175085233,-1.8558562961480884,1.436344983840533,1.9681389340568018,0.895,0.16545169680525076,0.355
mig0,PO,200.0,2.3706322670314703,2.3128244335730557,1.3885979531846635,2.403453367902452,0.965,0.21197980694389515,0.475
mig0,RE,200.0,2.0180845292763436,2.0925647649549703,1.4571479036478276,2.1342120477689606,0.915,0.18009559557958865,0.45
mig0.01,DDE,200.0,0.5487247680305589,0.5662075118570491,1.4421959164335725,1.2410958782058477,0.665,0.07762500670961421,0.11
mig0.01,DE,200.0,0.8981947236974619,0.8846114358070856,1.401852633615134,1.3086167730534024,0.735,0.0963114093196085,0.16
mig0.01,DI,200.0,-0.6554088371578731,-0.6612606503735972,1.4686444490614705,1.290082385904302,0.685,0.08832431096897192,0.165
mig0.01,DRE,200.0,1.2604260789111927,1.2051565286604429,1.5150029559183242,1.581093742463393,0.83,0.11942823042585225,0.235
mig0.01,NE,200.0,-0.9212416851095929,-0.9834332828158128,1.3805203780355533,1.3323099631268023,0.77,0.09371869912283996,0.165
mig0.01,PO,200.0,1.2893322430632876,1.3519308301939097,1.42314175194182,1.5901226736279892,0.82,0.1169113041863351,0.235
mig0.01,RE,200.0,1.2705429442408978,1.3300342924767188,1.4237735086373504,1.5715109351391612,0.81,0.11529551331893831,0.23
mig0.05,DDE,200.0,0.23104056553704172,0.17049466726770804,1.3548037944015376,1.0829396711388233,0.575,0.06628587638016376,0.08
mig0.05,DE,200.0,0.34680156380321536,0.2515312164779125,1.3698733854461742,1.107673463681773,0.58,0.07151909118560018,0.11
mig0.05,DI,200.0,-0.4886496861609796,-0.5195372313727175,1.4274586548481878,1.2184680121302667,0.6,0.07204897448551602,0.085
mig0.05,DRE,200.0,0.3554641009587445,0.3858086494690224,1.3632426553378594,1.1111458377944772,0.575,0.06541898744723301,0.075
mig0.05,NE,200.0,-0.5560398000475872,-0.5099338539435776,1.2773432682141403,1.1036907752017806,0.655,0.07335831016520103,0.13
mig0.05,PO,200.0,0.7250629490434385,0.7342542850586552,1.5150424821660393,1.3562642180366313,0.68,0.09277691097140989,0.175
mig0.05,RE,200.0,0.44895200703651894,0.3795276565957211,1.3025537088497596,1.0957243475905656,0.625,0.06863117155773282,0.095
