regime,generation,n_slopes,mean_slope,median_slope,std_slope,mean_abs_slope,frac_same_sign,mean_r2,frac_p_lt_0.05
mig0,1,140.0,0.7795718260644909,0.7601373289204181,2.090679977454223,1.7958445183653717,0.6357142857142857,0.14172376490862096,0.29285714285714287
mig0,2,140.0,0.7173433310799681,0.947464624922811,2.0956828192667687,1.8440238877991302,0.6428571428571429,0.14530649941904866,0.30714285714285716
mig0,3,140.0,0.8202844973069817,1.1168093246220443,1.963556131796786,1.7725975429380512,0.6857142857142857,0.14703255495793582,0.3142857142857143
mig0,4,140.0,0.909393267157106,0.97601636553615,2.191582801959642,1.9255350769818655,0.6785714285714286,0.14576561329386536,0.30714285714285716
mig0,5,140.0,1.0330105893150079,1.2355411580673024,2.0280912423338275,1.9368056679246386,0.7,0.163103735058411,0.35714285714285715
mig0,6,140.0,0.8777258223386488,1.2049028436552747,2.100892380897863,1.9576300076577882,0.6571428571428571,0.15754169766074252,0.32857142857142857
mig0,7,140.0,0.5205817142944296,0.6702512618928866,2.0728681365526755,1.716378976141159,0.6571428571428571,0.1388550003054695,0.2714285714285714
mig0,8,140.0,0.8362266251581763,0.8490783332286191,2.220328062544053,1.9366661124792124,0.7,0.16840505958185556,0.37857142857142856
mig0,9,140.0,0.784435419508265,1.042801111205169,2.0283786317615333,1.8382140595922059,0.6714285714285714,0.14978101656076376,0.32142857142857145
mig0,10,140.0,0.6640990522230196,0.991077038532113,2.086077624345611,1.820514665100275,0.6714285714285714,0.14636290917002392,0.3142857142857143
mig0.01,1,140.0,0.7090909972529029,0.7504338423077486,1.5577919973391174,1.3948476566021693,0.6785714285714286,0.10015838352837193,0.20714285714285716
mig0.01,2,140.0,0.6195880624234065,0.6939074252003373,1.5064072218363391,1.3100687903490407,0.6571428571428571,0.09139412816508712,0.15
mig0.01,3,140.0,0.29276099999032656,0.22730490106453854,1.7261243892025004,1.3752230255930316,0.5642857142857143,0.10464258654466091,0.2
mig0.01,4,140.0,0.5184936845022522,0.7952539705166051,1.7166201094083864,1.5095906464031505,0.6285714285714286,0.10534575073952294,0.15714285714285714
mig0.01,5,140.0,0.4277454473921346,0.47674871109257894,1.5870280720252037,1.3288248198460895,0.6214285714285714,0.0886684528539022,0.17857142857142858
mig0.01,6,140.0,0.4326444684264618,0.5386694596964943,1.7630020978165777,1.4373820437884035,0.6214285714285714,0.10134666246820208,0.18571428571428572
mig0.01,7,140.0,0.4873057576719546,0.4173238828132533,1.7993242938457978,1.5184904280138152,0.5857142857142857,0.11131777295730066,0.21428571428571427
mig0.01,8,140.0,0.8146219004812989,0.8409776101685893,1.8072625423937996,1.5804365077523679,0.6571428571428571,0.11733380423831667,0.21428571428571427
mig0.01,9,140.0,0.543546688634139,0.5816069272782689,1.562081688919122,1.3275812427491864,0.6571428571428571,0.0956807516117919,0.17142857142857143
mig0.01,10,140.0,0.4264451870478836,0.4293272128143195,1.7102206882220587,1.3816010553611713,0.6214285714285714,0.09498952696735823,0.17857142857142858
mig0.05,1,140.0,0.09557112185524862,0.03515850633511724,1.4744299284642977,1.1914917586881115,0.5214285714285715,0.07617604645620492,0.12857142857142856
mig0.05,2,140.0,0.21668820364964797,0.3854567698848042,1.2969607165673012,1.0628582528598614,0.6,0.06361389856978751,0.07857142857142857
mig0.05,3,140.0,0.1575368143327084,0.275929241113233,1.5326708602514325,1.1890482487195844,0.5857142857142857,0.06949999789789149,0.09285714285714286
mig0.05,4,140.0,0.13740238379261846,0.00034525977142898286,1.5662672598900063,1.2577476582579437,0.5,0.0837193653424867,0.11428571428571428
mig0.05,5,140.0,0.1633702405946635,0.156197253688583,1.3304674379467474,1.1069456719582194,0.5357142857142857,0.06488396731358258,0.07857142857142857
mig0.05,6,140.0,0.08292473398758125,0.008395062859983341,1.5261090911188255,1.1626704261563061,0.5,0.07482398332321956,0.12857142857142856
mig0.05,7,140.0,0.25551657960295165,0.1984841390971333,1.4905194472389443,1.2081823495814616,0.5785714285714286,0.08221826169312225,0.16428571428571428
mig0.05,8,140.0,0.06628060666074087,0.022216946692107546,1.4898295521267089,1.1500061782277282,0.5142857142857142,0.07671202005157365,0.1
mig0.05,9,140.0,0.08023895050315057,0.0039034383712249886,1.3214967467130148,1.0559047443308247,0.5071428571428571,0.0670867020815797,0.09285714285714286
mig0.05,10,140.0,0.26251565097839163,0.1894896805027491,1.4086613172407458,1.1521537477546981,0.5571428571428572,0.06989336040320414,0.09285714285714286
