regime,file,generation,epistasis_class,column,slope,intercept,r,r2,p_value,n_points
mig0,sim_mig0_rep0029.tsv,1,RE,RE_1,0.6188781733577617,66.37517843269562,0.1109353452842616,0.012306650833338343,0.6414911631039016,20
mig0,sim_mig0_rep0029.tsv,1,RE,RE_2,2.103577711201427,42.63229477421154,0.4767606505143484,0.22730071787886466,0.033554829089666005,20
mig0,sim_mig0_rep0029.tsv,1,DE,DE_1,1.4922915476831395,49.87168139088298,0.33614103024156333,0.11299079221185959,0.14732792367391462,20
mig0,sim_mig0_rep0029.tsv,1,DE,DE_2,-0.052093963752774995,63.18488402223129,-0.010732815927032596,0.00011519333772356457,0.9641798151283898,20
mig0,sim_mig0_rep0029.tsv,1,DI,DI_1,-1.4364070885572753,57.816526227825854,-0.24044779553966136,0.05781514237988279,0.30717965610570347,20
mig0,sim_mig0_rep0029.tsv,1,DI,DI_2,-1.2648262704186977,38.103053774390936,-0.3386627885664586,0.11469248435960984,0.14412645238403832,20
mig0,sim_mig0_rep0029.tsv,1,DRE,DRE_1,6.97298079537716,12.682674650870922,0.657689040476154,0.4325548739624441,0.0016233871298012947,20
mig0,sim_mig0_rep0029.tsv,1,DRE,DRE_2,3.408795631364245,48.04088518229546,0.7541156840271956,0.5686904648958052,0.00012265445022530277,20
mig0,sim_mig0_rep0029.tsv,1,DDE,DDE_1,0.21605540843793775,52.39370068597423,0.06018550253332197,0.0036222947151885055,0.8009986400413681,20
mig0,sim_mig0_rep0029.tsv,1,DDE,DDE_2,1.1028101320457482,39.87030994572175,0.2251218930884381,0.05067986674772216,0.339943514703143,20
mig0,sim_mig0_rep0029.tsv,1,PO,PO_1,2.7664687018273884,40.651258312141834,0.41149482168636303,0.1693279882746917,0.07145144277068252,20
mig0,sim_mig0_rep0029.tsv,1,PO,PO_2,0.02358566744549777,64.7556735535256,0.0049583140928935706,2.458487864378699e-05,0.9834479000399428,20
mig0,sim_mig0_rep0029.tsv,1,NE,NE_1,-1.0787590373779459,41.98079410358127,-0.23462035247371046,0.055046709794888134,0.31940453950586056,20
mig0,sim_mig0_rep0029.tsv,1,NE,NE_2,-4.815606919892657,83.44700736232133,-0.6315069590339404,0.39880103930829486,0.0028223863052212832,20
mig0,sim_mig0_rep0029.tsv,2,RE,RE_1,-0.2657532559823851,58.11263086079117,-0.05746615070810212,0.0033023584772063058,0.8098287703153821,20
mig0,sim_mig0_rep0029.tsv,2,RE,RE_2,2.9269951426226557,48.127950638735946,0.4011215717139889,0.16089851529430071,0.0796297013698445,20
mig0,sim_mig0_rep0029.tsv,2,DE,DE_1,1.0345982875568467,53.097063840336965,0.15851656727342534,0.02512750210015038,0.5044516490223108,20
mig0,sim_mig0_rep0029.tsv,2,DE,DE_2,4.3050007298489525,26.89507986728841,0.6307908937455537,0.3978971516323145,0.0028634312363828534,20
